Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
VWF	Vwf	Protein Coding	Endothelial (lymphatic)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL11	Ccl11	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL5	Ccl5	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCR3	Ccr3	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CSF2	Csf2	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NR2F6	Ear2	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EPX	Epx	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
IL5RA	Il5ra	Protein Coding	Eoisinophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ALAS2	Alas2	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD36	Cd36	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD44	Cd44	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD47	Cd47	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD55	Cd55	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD59	cd59a	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EDRF1	Edrf1	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EPB41	Epb41	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EPB41L2	Epb41l2	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GYPA	Gypa	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GYPC	Gypc	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
KEL	Kel	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
KIT	Kit	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
KLF1	Klf1	Protein Coding	Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Rhag		Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Thrb		Erythrocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
COL1A1	Col1a1	Protein Coding	Fibroblast	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NT5E	Nt5e	Protein Coding	Fibroblast	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PDGFRB	Pdgfrb	Protein Coding	Fibroblast	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
S100A4	S100a4	Protein Coding	Fibroblast	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ADRB1	Adrb1	Protein Coding	Granular cell of afferent arteriole	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AGTR1	Agtr1a	Protein Coding	Granular cell of afferent arteriole	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Ren1		Granular cell of afferent arteriole	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Akr1b8	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ALDH1A3	Aldh1a3	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL2	Ccl2	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL7	Ccl7	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ELF5	Elf5	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FAM20A	Fam20a	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GPHA2	Gpha2	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Plekhb1		Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
S100A4	S100a4	Protein Coding	Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc14a2		Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slfn2		Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tm6sf1		Inner medullary collecting duct	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EPO	Epo	Protein Coding	Interstitial cell (cortical)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FOXD1	Foxd1	Protein Coding	Interstitial cell (cortical)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NT5E	Nt5e	Protein Coding	Interstitial cell (cortical)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Ptgs2		Interstitial cell (medullary)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ADGRE1	Adgre1	Protein Coding	Leukocyte (polymorphonuclear)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ASB2	Asb2	Protein Coding	Leukocyte (polymorphonuclear)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CSF3R	Csf3r	Protein Coding	Leukocyte (polymorphonuclear)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGB2	Itgb2	Protein Coding	Leukocyte (polymorphonuclear)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Pram1		Leukocyte (polymorphonuclear)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ARID5A	Arid5a	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD40	Cd40	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CXCL1	Cxcl1	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ENC1	Enc1	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FGA	Fga	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GEM	Gem	Protein Coding	Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Pla2g7		Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc14a2		Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Spsb1		Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Thbs1		Long descending limb (inner medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ADAMTS5	Adamts5	Protein Coding	Long descending limb (outer medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NKAIN4	Nkain4	Protein Coding	Long descending limb (outer medulla)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ADGRE1	Adgre1	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
CD163	Cd163	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD200	Cd200	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD200R1	Cd200r1	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD68	Cd68	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CSF1R	Csf1r	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
GATA6	Gata6	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	H2-Ab1	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	H2-Eb1	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
IL4R	Il4ra	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGAM	Itgam	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
ITGAX	Itgax	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
LGALS3	Lgals3	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Ly6c1	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PPARG	Pparg	Protein Coding	Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Siglecf		Macrophage	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
NOS1	Nos1	Protein Coding	Macula densa	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
OXTR	Oxtr	Protein Coding	Macula densa	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Ptgs2		Macula densa	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
FCER1A	Fcer1a	Protein Coding	Mast cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MCEMP1	Mcemp1	Protein Coding	Mast cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MILR1	Milr1	Protein Coding	Mast cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CXCR1	Cxcr1	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CXCR2	Cxcr2	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
CXCR4	Cxcr4	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
GP5	Gp5	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGA2B	Itga2b	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
MATK	Matk	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
PDE6B	Pde6b	Protein Coding	Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slamf1		Megakaryocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ARID5B	Arid5b	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCR7	Ccr7	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FN1	Fn1	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GATA3	Gata3	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGA8	Itga8	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
PAWR	Pawr	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PDGFRB	Pdgfrb	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Ptn		Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Serpine2		Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tbx18		Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tek		Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
THY1	Thy1	Protein Coding	Mesangial cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
ADGRE1	Adgre1	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCR2	Ccr2	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD14	Cd14	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD44	Cd44	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CSF1R	Csf1r	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CX3CR1	Cx3cr1	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FCGR2B	Fcgr2b	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FCGR3A	Fcgr3	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGAL	Itgal	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGAM	Itgam	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Ly6c1	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Ly6c2	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Ly6g	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PECAM1	Pecam1	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PTPRC	Ptprc	Protein Coding	Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Sell		Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Spn		Monocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ACTA2	Acta2	Protein Coding	Myofibroblast	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
BDNF	Bdnf	Protein Coding	Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MAP2	Map2	Protein Coding	Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NEFL	Nefl	Protein Coding	Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NES	Nes	Protein Coding	Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NGF	Ngf	Protein Coding	Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc18a2		Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Stx1a		Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Vamp1		Neuron (axon)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ACTA2	Acta2	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ALPL	Alpl	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ANGPT2	Angpt2	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CSPG4	Cspg4	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MCAM	Mcam	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MFGE8	Mfge8	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
NT5E	Nt5e	Protein Coding	Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tbx18		Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tek		Pericyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD27	cd27	Protein Coding	Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
CD38	Cd38	Protein Coding	Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD93	Cd93	Protein Coding	Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
IRF4	Irf4	Protein Coding	Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	prdm1		Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Sdc1		Plasma cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD2AP	Cd2ap	Protein Coding	Podocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NPHS1	Nphs1	Protein Coding	Podocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NPHS2	Nphs2	Protein Coding	Podocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	podxl		Podocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
								
								
								
	Wt1		Podocyte	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AGXT2	Agxt2	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CRYL1	Cryl1	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CYP2E1	Cyp2e1	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GLYAT	Glyat	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GSTA2	Gsta2	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
HNF4A	Hnf4a	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PDZK1	Pdzk1	Protein Coding	Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Sod3		Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
								
								
								
								
	Sord		Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Upb1		Proximal (general)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
APOE	Apoe	Protein Coding	Proximal (S1)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NME4	Nme4	Protein Coding	Proximal (S1)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc5a2		Proximal (S1)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
HAAO	Haao	Protein Coding	Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
HGD	Hgd	Protein Coding	Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
HSD11B1	Hsd11b1	Protein Coding	Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Kap	Protein Coding	Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
OSGIN1	Osgin1	Protein Coding	Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Ppic		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Serpinf2		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc17a3		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc5a1		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Slc7a13		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
								
								
								
								
								
								
								
								
								
	Slco1a6		Proximal (S2)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CACNG5	Cacng5	Protein Coding	Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
GC	Gc	Protein Coding	Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GNG13	Gng13	Protein Coding	Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Rbp4		Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
								
								
								
								
								
	Slc22a13		Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc23a3		Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tff3		Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tgfbi		Proximal (S3)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
COX4I2	Cox4i2	Protein Coding	Short loop descending limb	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
